Ticker,Company,Ind
AGYS,AGILYSYS INC,RUSSEL 2000
AHCO,AdaptHealth Corp.,RUSSEL 2000
AHH,"Armada Hoffler Properties, Inc.",RUSSEL 2000
AI,"C3.ai, Inc.",RUSSEL 2000
AIN,ALBANY INTERNATIONAL CORP /DE/,RUSSEL 2000
AIR,AAR CORP,RUSSEL 2000
AIRS,"Airsculpt Technologies, Inc.",RUSSEL 2000
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,RUSSEL 2000
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,RUSSEL 2000
AKR,ACADIA REALTY TRUST,RUSSEL 2000
AKRO,"Akero Therapeutics, Inc.",RUSSEL 2000
AKTS,"Akoustis Technologies, Inc.",RUSSEL 2000
AKYA,"Akoya Biosciences, Inc.",RUSSEL 2000
ALCO,"ALICO, INC.",RUSSEL 2000
ALDX,"Aldeyra Therapeutics, Inc.",RUSSEL 2000
ALE,ALLETE INC,RUSSEL 2000
ALEC,"Alector, Inc.",RUSSEL 2000
ALEX,"Alexander & Baldwin, Inc.",RUSSEL 2000
ALG,ALAMO GROUP INC,RUSSEL 2000
ALGT,Allegiant Travel CO,RUSSEL 2000
ALHC,"Alignment Healthcare, Inc.",RUSSEL 2000
ALIT,"Alight, Inc. / Delaware",RUSSEL 2000
ALKS,Alkermes plc.,RUSSEL 2000
ALKT,"ALKAMI TECHNOLOGY, INC.",RUSSEL 2000
ALLK,Allakos Inc.,RUSSEL 2000
ALLO,"Allogene Therapeutics, Inc.",RUSSEL 2000
ALNT,ALLIENT INC,RUSSEL 2000
ALPN,"ALPINE IMMUNE SCIENCES, INC.",RUSSEL 2000
ALRM,"Alarm.com Holdings, Inc.",RUSSEL 2000
ALRS,ALERUS FINANCIAL CORP,RUSSEL 2000
ALT,"Altimmune, Inc.",RUSSEL 2000
ALTG,ALTA EQUIPMENT GROUP INC.,RUSSEL 2000
ALTI,"AlTi Global, Inc.",RUSSEL 2000
ALTM,Altus Midstream Co,RUSSEL 2000
ALTR,Altair Engineering Inc.,RUSSEL 2000
ALVR,"Allovir, Inc.",RUSSEL 2000
ALX,ALEXANDERS INC,RUSSEL 2000
ALXO,ALX ONCOLOGY HOLDINGS INC,RUSSEL 2000
AMAL,Amalgamated Financial Corp.,RUSSEL 2000
AMBA,AMBARELLA INC,RUSSEL 2000
AMBC,AMBAC FINANCIAL GROUP INC,RUSSEL 2000
AMCX,AMC Networks Inc.,RUSSEL 2000
AMEH,Apollo Medical Holdings Inc,RUSSEL 2000
AMK,"AMKOR TECHNOLOGY, INC.",RUSSEL 2000
AMKR,"AMKOR TECHNOLOGY, INC.",RUSSEL 2000
AMLX,"Amylyx Pharmaceuticals, Inc.",RUSSEL 2000
AMN,AMN HEALTHCARE SERVICES INC,RUSSEL 2000
AMNB,AMERICAN NATIONAL BANKSHARES INC.,RUSSEL 2000
AMPH,"Amphastar Pharmaceuticals, Inc.",RUSSEL 2000
AMPL,"Amplitude, Inc.",RUSSEL 2000
AMPS,"Altus Power, Inc.",RUSSEL 2000
AMPX,"Amprius Technologies, Inc.",RUSSEL 2000
AMPY,Amplify Energy Corp.,RUSSEL 2000
AMR,"Alpha Metallurgical Resources, Inc.",RUSSEL 2000
AMRC,"Ameresco, Inc.",RUSSEL 2000
AMRK,"A-Mark Precious Metals, Inc.",RUSSEL 2000
AMRX,"Amneal Pharmaceuticals, Inc.",RUSSEL 2000
AMSF,AMERISAFE INC,RUSSEL 2000
AMSWA,American Software Inc-GA,RUSSEL 2000
AMTB,Amerant Bancorp Inc.,RUSSEL 2000
AMWD,AMERICAN WOODMARK CORP,RUSSEL 2000
AMWL,American Well Corp,RUSSEL 2000
ANAB,"ANAPTYSBIO, INC",RUSSEL 2000
ANDE,"Andersons, Inc.",RUSSEL 2000
